Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5228575, 84.9343457507347, 11.773799970274, 14678, 42706, 2.442057
1.026053, 89.7044418051404, 11.1477199718547, 14366, 41770, 2.443653
1.529292, 89.5843287147635, 11.1626666384836, 15486, 45130, 2.444172
2.029732, 89.6981120341379, 11.1485066385194, 14694, 42754, 2.444308
2.53568, 82.3220978304834, 12.1474066359974, 14978, 43606, 2.445053
3.043247, 89.9567487951793, 11.116453305267, 14670, 42682, 2.447782
3.54353, 90.4741569618054, 11.0528799720942, 15106, 43990, 2.37509
4.046103, 90.7281844080591, 11.0219333055056, 15754, 45934, 2.290752
4.548685, 89.190630702626, 11.2119399716926, 14686, 42730, 2.370652
5.058467, 89.6042360103893, 11.1601866384899, 15410, 44902, 2.334244
5.559519, 89.2782212921416, 11.2009399717203, 15526, 45250, 2.307736
6.063825, 89.358530850437, 11.1908733050791, 15110, 44002, 2.196162
6.575427, 89.0721003023107, 11.2268599716549, 15458, 45046, 2.03907
7.076759, 90.9241347204719, 10.9981799722323, 15674, 45694, 1.802868
7.578348, 90.6318672521083, 11.0336466388094, 14730, 42862, 1.605149
8.079473, 90.0361224923439, 11.1066533052917, 14842, 43198, 1.459193
8.581808, 89.5037197745938, 11.1727199717916, 15242, 44398, 1.401426
9.090336, 90.5595857925292, 11.0424533054538, 15758, 45946, 1.40753
9.592988, 83.965688261149, 11.9096266365977, 15670, 45682, 1.471251
10.09429, 89.3454906735221, 11.1925066384083, 15994, 46654, 1.460086
10.59439, 89.1483833237845, 11.2172533050125, 15262, 44458, 1.478153
11.09597, 90.4890571583178, 11.0510599720988, 18942, 46850, 1.480999
11.59902, 89.4676851667946, 11.1772199717802, 23922, 49500, 1.495464
12.10062, 88.6344096505145, 11.2822999715149, 18642, 45950, 1.5031
12.60261, 88.2346193823224, 11.3334199713859, 24090, 50004, 1.496655
13.11243, 90.4863278174879, 11.0513933054312, 34118, 59124, 1.471941
13.61332, 84.5817124187945, 11.8228866368167, 33530, 57360, 1.482668
14.11455, 90.3294495684661, 11.0705866387161, 24482, 51180, 1.544138
14.61482, 89.6318104490374, 11.1567533051652, 14646, 42634, 1.642232
15.116, 89.6004358165198, 11.160659971822, 15106, 43990, 1.811768
15.61946, 89.2483680935894, 11.2046866383776, 15798, 46066, 1.840425
16.11967, 89.4747830236512, 11.1763333051158, 14686, 42730, 1.885542
16.62121, 84.2508721369447, 11.8693133033662, 15382, 44818, 1.950285
17.12244, 83.734514697082, 11.9425066365147, 15502, 45178, 1.959192
17.62323, 90.1989247085522, 11.0866066386757, 15202, 44278, 1.967292
18.12587, 89.6843290984393, 11.1502199718484, 15326, 44650, 1.971419
18.63838, 88.8960532522917, 11.2490933049321, 15410, 44902, 1.961403
19.13926, 90.6840296355409, 11.0272999721587, 15042, 43798, 1.947128
19.64087, 90.0568258571158, 11.1040999719648, 14894, 43354, 1.938929
20.14139, 90.1206174343742, 11.0962399719847, 14582, 42418, 1.933596
20.65438, 89.0449748358901, 11.2302799716463, 15786, 46030, 1.924318
21.16641, 74.2466930522914, 13.4686132993284, 15506, 45190, 1.916897
21.67651, 89.2468812677341, 11.2048733050437, 15890, 46342, 1.914565
22.17866, 89.1223763115101, 11.2205266383376, 15486, 45130, 1.91727
22.6806, 89.1886685202054, 11.2121866383586, 14758, 42946, 1.928758
23.181, 89.1808206538024, 11.2131733050228, 14958, 43546, 1.938128
23.69131, 91.2596940610016, 10.9577399723344, 14530, 42262, 1.934739
24.19313, 84.6129156538971, 11.8185266368278, 14314, 41614, 1.930715
24.69542, 84.4074177238696, 11.8472999700884, 15578, 45406, 1.934037
25.19599, 84.9939739272486, 11.7655399702949, 14742, 42898, 1.935311
25.69703, 90.4186927988745, 11.059659972077, 14978, 43606, 1.893082
26.19758, 91.0369288267221, 10.9845533056, 14750, 42946, 1.850542
26.70051, 89.0293310098656, 11.2322533049746, 24558, 51408, 1.91559
27.20227, 89.665458175547, 11.1525666385091, 13522, 18300, 2.10339
27.70256, 85.9133592409841, 11.6396333039461, 13522, 18300, 2.253022
28.20436, 78.9151378173967, 12.6718399680067, 13306, 18130, 2.385137
28.71497, 84.3492734715912, 11.8554666367345, 25138, 53124, 2.486463
29.22985, 83.5141414495717, 11.9740199697685, 23522, 51086, 2.530461
29.74283, 88.3543646172577, 11.3180599714246, 21622, 48898, 2.552025
30.25327, 89.1951387460115, 11.2113733050273, 15570, 45382, 2.59491
30.76295, 89.2347230154198, 11.2063999717066, 15406, 44890, 2.685835
31.26606, 84.0999511098951, 11.8906133033124, 24182, 50256, 2.73356
31.76693, 90.0399056862001, 11.1061866386262, 23990, 49680, 2.70619
32.27833, 80.231880833192, 12.4638733018651, 24862, 52296, 2.688746
32.7813, 89.2781150175908, 11.2009533050536, 24798, 52104, 2.68693
33.28159, 89.4722746297786, 11.1766466384483, 25450, 54060, 2.669372
33.78426, 89.0268475296534, 11.2325666383072, 25162, 53196, 2.661134
34.2857, 90.0225056264066, 11.1083333052875, 24350, 50760, 2.66162
34.78591, 89.8935121455124, 11.1242733052472, 24470, 51120, 2.666165
35.28768, 79.0528832167567, 12.6497599680624, 23962, 49596, 2.667757
35.79848, 84.5970726028997, 11.8207399701555, 23926, 49488, 2.669653
36.30441, 23.1411593751702, 43.2130465575642, 23986, 49668, 2.668687
36.84013, 13.0103132753334, 76.8620998059419, 23762, 48996, 2.670647
37.38578, 9.00409055834066, 111.060633052932, 23762, 48996, 2.671458
37.88851, 7.02279378816098, 142.393472973824, 23762, 48996, 2.66742
38.54245, 5.86647572722202, 170.460092902963, 23762, 48996, 2.664649
39.06686, 5.81145118561159, 172.074059565555, 23762, 48996, 2.659415
39.57059, 5.88435662229613, 169.942112904271, 23762, 48996, 2.650243
40.22303, 6.02436324789809, 165.992646247576, 23762, 48996, 2.624307
40.81442, 6.16477025319164, 162.212046257121, 23762, 48996, 2.616759
41.3323, 6.13601934989611, 162.972106255202, 23762, 48996, 2.613062
41.98618, 6.20949520405498, 161.04368626007, 23762, 48996, 2.616141
42.52328, 6.04152898693386, 165.521012915433, 23762, 48996, 2.613586
43.03184, 5.96911033156299, 167.529152910363, 23762, 48996, 2.597973
43.57982, 5.7555498272913, 173.745346228002, 23762, 48996, 2.587105
44.22726, 5.79719577273122, 172.49719289782, 23762, 48996, 2.593387
44.86443, 6.00370981236726, 166.563679579467, 23762, 48996, 2.590544
45.36478, 6.00662987779391, 166.482706246338, 23762, 48996, 2.491705
45.88923, 5.98432991243768, 167.103086244772, 23762, 48996, 2.424959
46.52307, 6.07759779624683, 164.538692917913, 23762, 48996, 2.352738
47.17095, 5.99400862873506, 166.833259578787, 23762, 48996, 2.254001
47.81288, 6.12698494910232, 163.212412921262, 14318, 41626, 2.210566
48.4571, 6.25005651092762, 159.998552929376, 14318, 41626, 2.307229
48.96009, 6.1553643507888, 162.459919589828, 19798, 46120, 2.261837
49.62029, 6.12411673905645, 163.288852921069, 23762, 48996, 2.457469
50.2623, 6.12424525822145, 163.285426254411, 23762, 48996, 2.475457
50.76538, 6.11460805545803, 163.542779587094, 23762, 48996, 2.485986
51.275, 8.25959078903651, 121.071373027658, 23762, 48996, 2.478117
51.77999, 94.7643936058041, 10.5524866400242, 24730, 51900, 2.477186
52.28062, 94.11941871847, 10.624799973175, 25026, 52788, 2.475476
52.78413, 92.7455655253603, 10.7821866394443, 24794, 52092, 2.473271
53.28992, 86.2592965956906, 11.5929533040639, 24414, 50952, 2.468871
53.7934, 88.9536735198553, 11.2418066382838, 25014, 52752, 2.455912
54.29344, 91.1735494592193, 10.9680933056416, 25230, 53400, 2.456549
54.79622, 88.4191539465889, 11.3097666381123, 24334, 50712, 2.452138
55.29858, 88.9420696582431, 11.2432733049468, 24178, 50244, 2.448111
55.80199, 89.8315478814128, 11.1319466385612, 24922, 52476, 2.445869
56.3044, 89.418031682597, 11.1834266384312, 24974, 52632, 2.445817
56.80644, 90.2361479993142, 11.0820333053539, 25330, 53700, 2.447164
57.31777, 79.5935423106005, 12.5638333016127, 25338, 53724, 2.446202
57.82063, 89.7178016267632, 11.1460599718589, 24486, 51168, 2.434206
58.32123, 79.1660751201609, 12.6316733014414, 24482, 51156, 2.434257
58.82214, 90.830206251177, 11.0095533055369, 23830, 49200, 2.432227
59.32243, 91.0503569173991, 10.9829333056041, 23786, 49068, 2.431094
59.82457, 89.5911775386556, 11.1618133051525, 24954, 52572, 2.343259
60.34413, 72.6964670486301, 13.7558266319365, 23970, 49620, 2.221248
60.84758, 68.7240194571444, 14.5509532965957, 24314, 50652, 2.229815
61.3498, 78.800343569498, 12.6902999679601, 24602, 51516, 2.362738
61.85004, 91.3206426050979, 10.9504266390195, 24342, 50736, 2.442694
62.40308, 28.8889261235048, 34.6153399126047, 24582, 51456, 2.53636
62.91909, 14.993919965454, 66.6936998316146, 24566, 51408, 2.547544
63.59983, 9.1625664690749, 109.139726391115, 24566, 51408, 2.457154
64.23545, 6.72951616034983, 148.599092958157, 24566, 51408, 2.364755
64.8202, 5.75425929313835, 173.78431289457, 24566, 51408, 2.358855
65.46793, 5.88547893830354, 169.909706237686, 24566, 51408, 2.371655
66.09828, 6.00339648159343, 166.572372912779, 24566, 51408, 2.403451
66.73798, 5.9946839143048, 166.814466245501, 24566, 51408, 2.402764
67.2384, 6.21546454817116, 160.889019593794, 24566, 51408, 2.404254
67.93867, 5.88332126664142, 169.972019570862, 24566, 51408, 2.402406
